name,rating,genre,score,director,writer,star,company,year,country
King of the Mountain,PG,Action,5.5,Noel Nosseck,David Barry,Harry Hamlin,PolyGram Pictures,1981,United States
Scream,R,Horror,2.9,Byron Quisenberry,Byron Quisenberry,Pepper Martin,Calendar International Pictures,1981,United States
The Devil and Max Devlin,PG,Comedy,5.0,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,Walt Disney Productions,1981,United States
The Amateur,R,Crime,5.8,Charles Jarrott,Robert Littell,John Savage,Balkan Productions,1982,United States
Longshot,PG,Comedy,5.1,E.W. Swackhamer,Barry Rosen,Leif Garrett,Greentree,1981,United States
Comin' at Ya!,R,Western,5.1,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,Lupo-Anthony-Quintano Productions,1981,United States
Silence of the North,PG,Drama,6.3,Allan King,Olive Frederickson,Ellen Burstyn,Universal Pictures,1981,Canada
Fast Times at Ridgemont High,R,Comedy,7.2,Amy Heckerling,Cameron Crowe,Sean Penn,Universal Pictures,1982,United States
Blade Runner,R,Action,8.1,Ridley Scott,Hampton Fancher,Harrison Ford,The Ladd Company,1982,United States
The Thing,R,Horror,8.1,John Carpenter,Bill Lancaster,Kurt Russell,Universal Pictures,1982,United States
Conan the Barbarian,R,Action,6.9,John Milius,Robert E. Howard,Arnold Schwarzenegger,Universal Pictures,1982,United States
E.T. the Extra-Terrestrial,PG,Family,7.8,Steven Spielberg,Melissa Mathison,Henry Thomas,Universal Pictures,1982,United States
First Blood,R,Action,7.7,Ted Kotcheff,David Morrell,Sylvester Stallone,Anabasis N.V.,1982,United States
An Officer and a Gentleman,R,Drama,7.0,Taylor Hackford,Douglas Day Stewart,Richard Gere,Lorimar Film Entertainment,1982,United States
Grease 2,PG,Comedy,4.4,Patricia Birch,Ken Finkleman,Michelle Pfeiffer,Paramount Pictures,1982,United States
Annie,PG,Comedy,6.6,John Huston,Carol Sobieski,Aileen Quinn,Columbia Pictures,1982,United States
Poltergeist,PG,Horror,7.3,Tobe Hooper,Steven Spielberg,JoBeth Williams,Metro-Goldwyn-Mayer (MGM),1982,United States
48 Hrs.,R,Action,6.9,Walter Hill,Roger Spottiswoode,Nick Nolte,Paramount Pictures,1982,United States
Star Trek II: The Wrath of Khan,PG,Action,7.7,Nicholas Meyer,Gene Roddenberry,William Shatner,Paramount Pictures,1982,United States
Paradise,R,Adventure,4.9,Stuart Gillard,Stuart Gillard,Willie Aames,Embassy Pictures,1982,United States
The Last American Virgin,R,Comedy,6.3,Boaz Davidson,Boaz Davidson,Lawrence Monoson,Cannon Group,1982,United States
Sophie's Choice,R,Drama,7.6,Alan J. Pakula,William Styron,Meryl Streep,Incorporated Television Company (ITC),1983,United States
Gandhi,PG,Biography,8.0,Richard Attenborough,John Briley,Ben Kingsley,International Film Investors,1983,United States
Tootsie,PG,Comedy,7.4,Sydney Pollack,Don McGuire,Dustin Hoffman,Columbia Pictures,1982,United States
Tron,PG,Action,6.8,Steven Lisberger,Steven Lisberger,Jeff Bridges,Walt Disney Productions,1982,United States
The Secret of NIMH,G,Animation,7.6,Don Bluth,Robert C. O'Brien,Elizabeth Hartman,Aurora,1982,United States
The King of Comedy,PG,Comedy,7.8,Martin Scorsese,Paul D. Zimmerman,Robert De Niro,Embassy International Pictures,1983,Brazil
Rocky III,PG,Drama,6.8,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,Chartoff-Winkler Productions,1982,United States
The Beastmaster,PG,Action,6.2,Don Coscarelli,Don Coscarelli,Marc Singer,Leisure Investment Company,1982,United States
Creepshow,R,Comedy,6.9,George A. Romero,Stephen King,Hal Holbrook,United Film Distribution Company (UFDC),1982,United States
The Man from Snowy River,PG,Adventure,7.3,George Miller,A.B. 'Banjo' Paterson,Kirk Douglas,Cambridge Productions,1982,United States
Pink Floyd: The Wall,R,Drama,8.0,Alan Parker,Roger Waters,Bob Geldof,Goldcrest Films International,1982,United States
Cat People,R,Fantasy,6.2,Paul Schrader,DeWitt Bodeen,Nastassja Kinski,RKO Pictures,1982,United States
Fanny and Alexander,R,Drama,8.1,Ingmar Bergman,Ingmar Bergman,Bertil Guve,Cinematograph AB,1982,Sweden
Friday the 13th Part III,R,Horror,5.7,Steve Miner,Martin Kitrosser,Dana Kimmell,Paramount Pictures,1982,United States
Firefox,PG,Action,6.0,Clint Eastwood,Alex Lasker,Clint Eastwood,Major Studio Partners,1982,United States
Halloween III: Season of the Witch,R,Horror,5.0,Tommy Lee Wallace,Tommy Lee Wallace,Tom Atkins,Dino De Laurentiis Company,1982,United States
The Dark Crystal,PG,Adventure,7.2,Jim Henson,David Odell,Jim Henson,Incorporated Television Company (ITC),1982,United States
The Verdict,R,Drama,7.7,Sidney Lumet,Barry Reed,Paul Newman,Twentieth Century Fox,1982,United States
Zapped!,R,Comedy,4.9,Robert J. Rosenthal,Bruce Rubin,Scott Baio,Embassy Pictures,1982,United States
Six Pack,PG,Comedy,5.9,Daniel Petrie,Mike Marvin,Kenny Rogers,Twentieth Century Fox,1982,United States
The World According to Garp,R,Comedy,7.2,George Roy Hill,John Irving,Robin Williams,Pan Arts,1982,United States
Diner,R,Comedy,7.1,Barry Levinson,Barry Levinson,Steve Guttenberg,Metro-Goldwyn-Mayer (MGM),1982,United States
The Best Little Whorehouse in Texas,R,Comedy,6.0,Colin Higgins,Larry L. King,Burt Reynolds,Universal Pictures,1982,United States
The Year of Living Dangerously,PG,Drama,7.1,Peter Weir,David Williamson,Mel Gibson,Metro-Goldwyn-Mayer (MGM),1983,United States
Night Shift,R,Comedy,6.6,Ron Howard,Lowell Ganz,Henry Winkler,Major Studio Partners,1982,United States
Summer Lovers,R,Comedy,5.7,Randal Kleiser,Randal Kleiser,Peter Gallagher,Filmways Pictures,1982,United States
Victor Victoria,PG,Comedy,7.6,Blake Edwards,Blake Edwards,Julie Andrews,Metro-Goldwyn-Mayer (MGM),1982,United States
The Last Unicorn,G,Animation,7.4,Jules Bass,Peter S. Beagle,Jeff Bridges,Rankin/Bass Productions,1982,United States
The Entity,R,Drama,6.7,Sidney J. Furie,Frank De Felitta,Barbara Hershey,American Cinema Productions,1983,United States
Airplane II: the Sequel,PG,Comedy,6.2,Ken Finkleman,Ken Finkleman,Robert Hays,Paramount Pictures,1982,United States
The Toy,PG,Comedy,5.8,Richard Donner,Francis Veber,Richard Pryor,Columbia Pictures,1982,United States
The House on Sorority Row,R,Horror,6.0,Mark Rosman,Mark Rosman,Kate McNeil,VAE Productions,1983,South Korea
Evil Under the Sun,PG,Crime,7.1,Guy Hamilton,Anthony Shaffer,Peter Ustinov,EMI Films,1982,United States
The Sword and the Sorcerer,R,Action,5.6,Albert Pyun,Tom Karnowski,Lee Horsley,Sorcerer Productions,1982,United States
Death Wish II,R,Action,6.0,Michael Winner,David Engelbach,Charles Bronson,Golan-Globus Productions,1982,United States
Silent Rage,R,Action,5.5,Michael Miller,Joseph Fraley,Chuck Norris,Columbia Pictures,1982,United States
Megaforce,PG,Action,3.7,Hal Needham,Bob Kachler,Barry Bostwick,Golden Harvest Company,1982,United States
Personal Best,R,Drama,6.3,Robert Towne,Robert Towne,Mariel Hemingway,The Geffen Company,1982,Japan
Dead Men Don't Wear Plaid,PG,Comedy,6.9,Carl Reiner,Carl Reiner,Steve Martin,Aspen Film Society,1982,United States
Amityville II: The Possession,R,Horror,5.5,Damiano Damiani,Tommy Lee Wallace,James Olson,Dino De Laurentiis Company,1982,United States
Missing,PG,Biography,7.7,Costa-Gavras,Costa-Gavras,Jack Lemmon,PolyGram Filmed Entertainment,1982,United States
Frances,R,Biography,7.3,Graeme Clifford,Eric Bergren,Jessica Lange,Brooksfilms,1983,Australia
The Seduction,R,Thriller,4.9,David Schmoeller,David Schmoeller,Morgan Fairchild,The Romantic Venture,1982,United States
Cannery Row,PG,Comedy,6.7,David S. Ward,John Steinbeck,Nick Nolte,Chai Productions,1982,United States
Deathtrap,PG,Comedy,7.0,Sidney Lumet,Ira Levin,Michael Caine,Warner Bros.,1982,United States
Tex,PG,Drama,6.5,Tim Hunter,S.E. Hinton,Matt Dillon,Walt Disney Productions,1982,United States
Time Walker,PG,Horror,3.6,Tom Kennedy,Jason Williams,Ben Murphy,Byzantine Productions,1982,United States
"I, the Jury",R,Crime,5.9,Richard T. Heffron,Mickey Spillane,Armand Assante,American Cinema Productions,1982,West Germany
Tempest,PG,Comedy,6.5,Paul Mazursky,Paul Mazursky,John Cassavetes,Columbia Pictures,1982,United States
Young Doctors in Love,R,Comedy,5.5,Garry Marshall,Michael Elias,Michael McKean,ABC Motion Pictures,1982,United States
My Favorite Year,PG,Comedy,7.4,Richard Benjamin,Norman Steinberg,Peter O'Toole,Metro-Goldwyn-Mayer (MGM),1982,United States
Still of the Night,PG,Crime,6.1,Robert Benton,Robert Benton,Roy Scheider,United Artists,1982,United States
Parasite,R,Horror,3.9,Charles Band,Alan J. Adler,Robert Glaudini,Embassy Pictures,1982,United States
Making Love,R,Drama,6.9,Arthur Hiller,Barry Sandler,Michael Ontkean,IndieProd Company Productions,1982,United States
Honkytonk Man,PG,Comedy,6.6,Clint Eastwood,Clancy Carlile,Clint Eastwood,The Malpaso Company,1982,United States
The Beast Within,R,Horror,5.6,Philippe Mora,Tom Holland,Ronny Cox,Katzka,1982,United States
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,7.2,Robert Altman,Ed Graczyk,Cher,Sandcastle 5 Productions,1983,France
The Final Option,R,Action,6.4,Ian Sharp,George Markstein,Lewis Collins,Richmond Light Horse Productions,1983,United States
Trail of the Pink Panther,PG,Comedy,5.0,Blake Edwards,Blake Edwards,Peter Sellers,United Artists,1982,United States
The Sender,R,Drama,6.0,Roger Christian,Thomas Baum,Kathryn Harrold,Paramount Pictures,1982,United States
The Border,R,Crime,6.4,Tony Richardson,Deric Washburn,Jack Nicholson,Efer Productions,1982,United States
Kiss Me Goodbye,PG,Comedy,6.0,Robert Mulligan,Bruno Barreto,Sally Field,Twentieth Century Fox,1982,United States
A Midsummer Night's Sex Comedy,PG,Comedy,6.6,Woody Allen,Woody Allen,Woody Allen,Jack Rollins & Charles H. Joffe Productions,1982,United States
Vice Squad,R,Action,6.5,Gary Sherman,Sandy Howard,Season Hubley,AVCO Embassy Pictures,1982,United States
Best Friends,PG,Comedy,5.5,Norman Jewison,Valerie Curtin,Burt Reynolds,Warner Bros.,1982,United States
Shoot the Moon,R,Drama,6.9,Alan Parker,Bo Goldman,Albert Finney,Metro-Goldwyn-Mayer (MGM),1982,United States
Lookin' to Get Out,R,Comedy,5.1,Hal Ashby,Al Schwartz,Jon Voight,Lorimar Productions,1983,Australia
Barbarosa,PG,Western,6.4,Fred Schepisi,William D. Wittliff,Willie Nelson,Incorporated Television Company (ITC),1982,United States
Visiting Hours,R,Horror,5.7,Jean-Claude Lord,Brian Taggert,Michael Ironside,Canadian Film Development Corporation (CFDC),1982,United States
A Little Sex,R,Comedy,4.9,Bruce Paltrow,Robert De Laurentiis,Tim Matheson,Company Four,1982,United States
Class Reunion,R,Comedy,4.7,Michael Miller,John Hughes,Gerrit Graham,ABC Motion Pictures,1982,United States
Hanky Panky,PG,Action,5.6,Sidney Poitier,Henry Rosenbaum,Gene Wilder,Columbia Pictures,1982,United States
Author! Author!,PG,Comedy,6.2,Arthur Hiller,Israel Horovitz,Al Pacino,Twentieth Century Fox,1982,United States
Split Image,R,Drama,6.5,Ted Kotcheff,Scott Spencer,Michael O'Keefe,PolyGram Filmed Entertainment,1982,United States
The Challenge,R,Action,6.3,John Frankenheimer,Richard Maxwell,Scott Glenn,CBS Theatrical Films,1982,United States
The Soldier,R,Action,5.3,James Glickenhaus,James Glickenhaus,Ken Wahl,James Glickenhaus,1982,United States
Wrong Is Right,R,Comedy,5.7,Richard Brooks,Charles McCarry,Sean Connery,Columbia Pictures,1982,United States
Six Weeks,PG,Drama,5.7,Tony Bill,Fred Mustard Stewart,Dudley Moore,PolyGram Pictures,1982,United States
Jekyll and Hyde... Together Again,R,Sci-Fi,6.2,Jerry Belson,Monica Mcgowan Johnson,Mark Blankfield,Paramount Pictures,1982,United States
Forced Vengeance,R,Action,5.6,James Fargo,Franklin Thompson,Chuck Norris,Metro-Goldwyn-Mayer (MGM),1982,United States
